merchant_id,merchant_name,merchant_category,location_zip,years_in_business,avg_transaction_value,chargeback_rate,risk_tier
Merch_00042,"Cline, Jacobs And Wilson",Digital,47580,1,13.08,0.0234,High
Merch_00043,Mcdaniel-Ochoa,Unknown,73671,2,$114.76,0.0199,Low
Merch_00044,Johnson And Sons,Manufacturing,Abc12,0,46.82,0.0303,High
Merch_00045,Goods-Llc,Manufacturing,68871,7,17.29,0.0153,Low
Merch_00046,Soto And Sons,Services,Abc12,3 Years,Unknown,0.0208,Unknown
Merch_00047,Lane-Collins,Retail,56124,6,22.52,0.0198,High
Merch_00048,Johnson Llc,Unknown,63728,0,Unknown,0.0061,Low
Merch_00049,"Christensen, Anderson And Coleman",Services,72295,0,Unknown,0.0506,Medium
Merch_00050,Thompson Inc,Digital,78016,2,52.41,0.0108,Low
Merch_00051,Banks-Davis,Wholesale,13725,1,28.07,0.0097,Low
Merch_00052,Snyder And Sons,Wholesale,21437,0,271.1,0.0174,Unknown
Merch_00053,"Trujillo, Williams And Yang",Manufacturing,5199,Unknown,37.33,0.0034,Medium
Merch_00054,Johns-Mccoy,Unknown,35400,1,57.62,0.0081,Low
Merch_00055,Cowan Ltd,Manufacturing,4806,0,93.5,0.0167,Medium
Merch_00056,Biz-Corp,Digital,62780,1 Years,61.52,0.0135,Low
Merch_00057,Goods-Llc,Unknown,90280,5,165.21,0.0191,Medium
Merch_00058,Floyd Inc,Manufacturing,9812,-5,224.42,0.28,Low
Merch_00059,"Sullivan, Robinson And Trujillo",Manufacturing,51733,1,26.85,0.0102,Medium
Merch_00060,"Wright, Norris And Mckay",Manufacturing,02690,1,370.52,0.0296,Medium
Merch_00061,Trade-Co,Retail,68919,2,$13.7,0.0153,Low
Merch_00062,Peterson-Edwards,Wholesale,96115,3,$33.91,0.0221,Unknown
Merch_00063,"Gates, Martin And Lawrence",Wholesale,45364,0,73.2,0.0134,Low
Merch_00064,Schwartz Llc,Retail,6604,1,322.36,0.0084,Unknown
Merch_00065,Kirk-Bauer,Digital,Unknown,1,24.04,0.0072,Low
Merch_00066,Ryan Ltd,Digital,21237,5,69.4,0.0256,Low
Merch_00067,"Walsh, Stevenson And Rodriguez",Wholesale,68807,4,139.4,0.0253,Medium
Merch_00068,Trade-Co,Unknown,41255,3,$48.73,0.045,Low
Merch_00069,"Turner, Oliver And Richards",Digital,47062,-3,21.09,0.0208,Low
Merch_00070,Avila Llc,Retail,75327,0,13.52,Unknown,Medium
Merch_00071,"Brown, Brady And Myers",Services,Unknown,Unknown,$25.08,0.0248,Medium
Merch_00072,"Nunez, Allen And Cruz",Manufacturing,88375,4,37.91,0.0389,Medium
Merch_00073,"Luna, Wong And Jackson",Unknown,50555,3,7.75,0.0013,Low
Merch_00074,Ramsey Ltd,Retail,98802Extra,Unknown,$43.06,0.006,Low
Merch_00075,"Parks, Clark And Bush",Manufacturing,18650Extra,Unknown,Unknown,0.0211,Medium
Merch_00076,"Sanchez, Chandler And Garcia",Manufacturing,81832,Unknown,96.22,0.0038,Low
Merch_00077,Murphy Group,Retail,98384,3,38.3,0.0176,Low
Merch_00078,"Norton, Mitchell And Powers",Retail,27580,13,8.53,0.0268,Low
Merch_00079,Nichols-Wright,Retail,49936,6,12.71,Unknown,Medium
Merch_00080,Jackson-Stein,Services,Abc12,Unknown,$131.6,0.0376,Medium
Merch_00081,"Mcdonald, Nolan And Ward",Unknown,Abc12,3,30.95,0.0166,Medium
Merch_00082,Smith-Navarro,Digital,95482,2,55.56,0.0166,Low
Merch_00083,Espinoza Inc,Wholesale,92239,13,3097.41,0.0313,Medium
Merch_00084,Davis-Williams,Unknown,00768,7,156.09,0.0215,Low
Merch_00085,Vance-Sims,Wholesale,Unknown,17,$53.05,0.0272,Medium
Merch_00086,Reyes-Case,Digital,66059,4,5.38,0.0181,Low
Merch_00087,Williams Plc,Manufacturing,67368Extra,0,607.35,0.0357,Low
Merch_00088,"Thornton, West And Burns",Wholesale,04297,0,144.59,0.3812,High
Merch_00089,Smith Llc,Manufacturing,Abc12,4,45.32,0.0066,Low
Merch_00090,Trade-Co,Unknown,44635,4,59.19,0.0358,Medium
Merch_00091,Supply-Partners,Unknown,Unknown,4,55.5,0.0369,Low
Merch_00092,"Morse, Austin And Hobbs",Unknown,41699,7,7.67,0.0266,Low
Merch_00093,Williams-Cole,Manufacturing,42429,0 Years,Unknown,0.0222,Low
Merch_00094,"Craig, Davis And Garcia",Services,88182,18 Years,55.55,0.0109,High
Merch_00095,"Stewart, Davis And Hernandez",Unknown,31069,0,$60.86,0.0181,Low
Merch_00096,Ayala Group,Services,79027,2,5.41,Unknown,Medium
Merch_00097,Stephens-Lambert,Unknown,90271,6,$5.94,0.0277,Low
Merch_00098,Flores-Johns,Services,67756,0,Unknown,Unknown,Low
Merch_00099,"Marshall, Anderson And Thomas",Unknown,65697,0,$324.04,0.0076,Low
Merch_00100,"Rodriguez, Nichols And Potter",Unknown,Abc12,1,426.67,0.0393,Low
Merch_00101,Brown Inc,Unknown,5401,8,$44.53,0.007,Low
Merch_00102,Summers-Herring,Other,79705,11,12.91,0.0432,Low
Merch_00103,Cox-Owens,Unknown,51086,2,532.17,0.0016,Unknown
Merch_00104,Boyd Llc,Retail,02596,2,146.41,0.0238,Unknown
Merch_00105,Trade-Co,Unknown,95707,3,Unknown,0.0477,Low
Merch_00106,Rodriguez-Hicks,Retail,36852,1,Unknown,0.0047,Medium
Merch_00107,White Group,Manufacturing,23937,3,84.77,0.0309,Low
Merch_00108,"Ramos, Gregory And Mcgrath",Retail,Unknown,5,25.34,0.0138,Medium
Merch_00109,"Wallace, Burns And Rivera",Manufacturing,Unknown,2,Unknown,0.0244,Unknown
Merch_00110,Myers Llc,Wholesale,93551,2,$33.21,0.006,Low
Merch_00111,"Campbell, Martinez And May",Services,5307,3,14.8,0.0079,Low
Merch_00112,Garcia Llc,Services,62416,15,$51.46,0.0234,Low
Merch_00113,Comp&Ny Inc,Retail,11499,6,-8.82,0.3114,Medium
Merch_00114,Perez-Newman,Retail,78431,11 Years,124.73,0.0188,Low
Merch_00115,"Jackson, Kelley And Rowe",Manufacturing,31071,4,224.37,0.0176,Low
Merch_00116,Morgan-Nguyen,Unknown,08952,0,$47.82,0.0418,Low
Merch_00117,Morris-Taylor,Digital,52823,4,19.06,0.023,Low
Merch_00118,Buchanan-Green,Retail,27615,0,19.86,0.0208,Medium
Merch_00119,Eaton Plc,Wholesale,Abc12,Unknown,46.8,0.0273,Low
Merch_00120,"Bishop, Jones And Jones",Unknown,99108,15,36.93,0.0185,Medium
Merch_00121,"Carter, Riggs And Frye",Retail,37900,Unknown,1434.42,0.0179,Low
Merch_00122,Wu-Dougherty,Unknown,60264,18,55.07,0.0443,Low
Merch_00123,Benson-Young,Retail,77535,5,$62.6,0.0181,Low
Merch_00124,Harris Ltd,Digital,Abc12,Unknown,57.84,0.0013,Low
Merch_00125,Kent-Hughes,Digital,14199,10,$51.47,0.0152,Low
Merch_00126,"Abbott, Avila And Nguyen",Unknown,06311,7,Unknown,0.007,Low
Merch_00127,Gonzalez Ltd,Retail,52551,1,$225.37,0.0219,High
Merch_00128,Goods-Llc,Services,54612,0,Unknown,0.59%,Low
Merch_00129,James-Mercado,Wholesale,79253,8,57.02,0.0197,Low
Merch_00130,Trade-Co,Digital,30633,7,55.47,0.007,Medium
Merch_00131,"Carlson, Houston And Rivera",Wholesale,37181,10,8.52,0.9142,Low
Merch_00132,Mccall Plc,Unknown,62225,1,Unknown,0.0189,Low
Merch_00133,"Lang, Gomez And Mcfarland",Unknown,10188,Unknown,50.03,0.0065,Medium
Merch_00134,Turner-Hale,Manufacturing,97957,3,70.51,0.0063,High
Merch_00135,Bowers Plc,Services,01920,5,80.44,0.0341,Low
Merch_00136,Washington-Moore,Manufacturing,3467,1,235.15,0.0216,High
Merch_00137,Mcintyre Llc,Digital,73387,Unknown,57.62,0.0299,Low
Merch_00138,"Mann, Zimmerman And Stevenson",Unknown,97506Extra,2,101.43,0.0082,Low
Merch_00139,"Mathis, Smith And Thompson",Unknown,2468,7,36.04,0.0306,Low
Merch_00140,Armstrong-Smith,Unknown,Abc12,1,$10.42,0.0078,Unknown
Merch_00141,Garner-Stephens,Digital,Unknown,0 Years,$73.86,0.0061,Low
Merch_00142,Trade-Co,Retail,86811,4,131.54,0.0013,Low
Merch_00143,Skinner-Ryan,Services,24389,4,45.37,0.0147,Low
Merch_00144,Mahoney-Patterson,Services,61411Extra,0,43.94,0.0015,Low
Merch_00145,Peterson And Sons,Unknown,72019,1,8.85,0.023,Low
Merch_00146,"Castillo, Moore And Little",Wholesale,Unknown,1,13.27,0.0042,Low
Merch_00147,"Mcdonald, Garner And Jacobs",Digital,55469,1,159.65,0.0116,Low
Merch_00148,"Hill, Bell And Flores",Manufacturing,60028,3,6.43,0.0182,Unknown
Merch_00149,Williams And Sons,Wholesale,43843,3,$50.51,0.0057,Medium
Merch_00150,Smith Ltd,Unknown,06732,4,12.0,0.0264,Low
Merch_00151,Hernandez And Sons,Wholesale,Unknown,6,186.2,0.0067,Low
Merch_00152,Green Group,Services,88345,1,Unknown,0.0115,Medium
Merch_00153,Chavez Inc,Manufacturing,77818,5,183.08,0.0193,Low
Merch_00154,Flores-Wu,Digital,24332Extra,4,13.53,0.0061,Low
Merch_00155,Supply-Partners,Digital,86935,9,-4.82,0.0097,Low
Merch_00156,Supply-Partners,Digital,71373,Unknown,34.38,Unknown,Low
Merch_00157,Landry-Townsend,Other,20502,0,52.57,0.0169,Unknown
Merch_00158,Reyes Plc,Unknown,96090Extra,Unknown,270.93,Unknown,Low
Merch_00159,Rivera Ltd,Unknown,9261,9,$13.61,0.0186,High
Merch_00160,"Martin, Garcia And Griffin",Services,55474Extra,1,99.97,0.003,Medium
Merch_00161,Heath Inc,Unknown,01362,-8,$629.49,0.0114,Medium
Merch_00162,Adams Ltd,Retail,65407,1 Years,124.5,0.006,Medium
Merch_00163,Alvarez-Pena,Services,49039,0,72.0,0.0165,Medium
Merch_00164,Goods-Llc,Unknown,68152,1,39.48,0.0178,Low
Merch_00165,Ferguson Llc,Digital,08850,10,Unknown,Unknown,Low
Merch_00166,"Garrett, Smith And Martinez",Unknown,20204,Unknown,Unknown,2.88%,Medium
Merch_00167,Moreno-Woods,Digital,33468,13,56.12,Unknown,Unknown
Merch_00168,Goods-Llc,Manufacturing,07050Extra,2,Unknown,Unknown,Low
Merch_00169,"Calderon, Roman And Edwards",Manufacturing,31981,0,Unknown,0.0173,Low
Merch_00170,Blake-Holden,Digital,35826,1,87.18,0.0082,High
Merch_00171,"Davila, May And Bell",Unknown,69904,Unknown,13.35,0.0258,Low
Merch_00172,Comp&Ny Inc,Wholesale,83026,1,283.38,0.0071,Low
Merch_00173,Hicks-Gonzalez,Digital,54072,6,37.16,0.0195,Medium
Merch_00174,Gonzalez-Gonzalez,Services,38706Extra,8,56.4,0.0155,Low
Merch_00175,"Carey, Cooper And Duncan",Unknown,05898,2,94.91,0.0633,Low
Merch_00176,"Bennett, Vasquez And Calhoun",Wholesale,95930Extra,Unknown,60.99,0.0028,Medium
Merch_00177,Vang Group,Services,63140,2,194.65,0.029,Medium
Merch_00178,Delgado Ltd,Other,66741,1,6.41,0.0099,Low
Merch_00179,"Hall, Duran And Morrison",Digital,Abc12,9,Unknown,3.15%,Low
Merch_00180,Grimes-Porter,Wholesale,46577,2,$3.45,0.5543,Low
Merch_00181,Lopez Plc,Digital,79875,13,76.11,1.13%,High
Merch_00182,Brown-Adams,Wholesale,Abc12,4,10.35,0.0096,Low
Merch_00183,Biz-Corp,Services,99054,12,Unknown,0.0221,Low
Merch_00184,Levine-Clark,Retail,Unknown,3,21.29,0.0171,Low
Merch_00185,Burns-Garner,Other,26849,-4,49.83,0.0155,Low
Merch_00186,Hayes-Roberts,Wholesale,39861,7,3.88,0.0319,Low
Merch_00187,"Hernandez, Brown And Bryant",Services,57008,10,255.47,0.0121,Medium
Merch_00188,Gonzalez-Moore,Manufacturing,5309,0,-5.47,Unknown,Unknown
Merch_00189,"Brown, Pearson And Carroll",Services,75227,0,$73.63,0.0128,Low
Merch_00190,Henry And Sons,Manufacturing,73486,3,Unknown,0.0052,Low
Merch_00191,Cook Group,Unknown,Unknown,3,80.08,0.0074,Low
Merch_00192,Smith Inc,Digital,68957Extra,7,41.85,0.0312,Low
Merch_00193,Tucker-Knox,Unknown,93996,3,Unknown,0.0157,Medium
Merch_00194,"Garcia, Reed And Bell",Unknown,79319,3,2.55,0.0158,Low
Merch_00195,Zuniga-Thompson,Services,24632,6,27.2,0.0247,Low
Merch_00196,"Smith, Kerr And Young",Unknown,09438,1,$67.13,0.0329,Medium
Merch_00197,Santos-Hamilton,Services,Abc12,0,40.68,0.6462,Medium
Merch_00198,Meyer Ltd,Wholesale,29014,2,47.16,0.0509,Low
Merch_00199,Snyder And Sons,Unknown,45650,1,359.66,Unknown,High
Merch_00200,Mitchell And Sons,Unknown,02008,0,$33.73,4.69%,Low
Merch_00201,"Carroll, Porter And Spencer",Services,91366Extra,1,35.42,0.026,Low
Merch_00202,Evans-Turner,Unknown,Abc12,3 Years,28.29,0.006,Low
Merch_00203,Davis-Thomas,Unknown,18839,5,$73.27,0.011,Medium
Merch_00204,Vasquez Ltd,Digital,52922,-4,32.29,0.0096,Medium
Merch_00205,Jordan-Petersen,Services,8030,4,$121.58,0.0006,Low
Merch_00206,Cortez-Smith,Manufacturing,55785Extra,0,16.1,0.0241,Medium
Merch_00207,Sawyer Ltd,Retail,98971,5,13.19,0.0234,High
Merch_00208,Robinson Group,Unknown,47478,1,Unknown,0.0122,Low
Merch_00209,Martinez Ltd,Digital,96333,3,31.11,0.0053,Unknown
Merch_00210,King-Smith,Retail,Abc12,7,697.86,Unknown,Low
Merch_00211,Wheeler-Scott,Retail,63341,5,40.3,0.0162,Low
Merch_00212,Biz-Corp,Unknown,28709,3 Years,Unknown,0.0011,Low
Merch_00213,Guerrero Group,Wholesale,11941,7,46.96,0.0065,Low
Merch_00214,Woods Group,Retail,29391,7,$68.99,0.0198,Medium
Merch_00215,Comp&Ny Inc,Services,42775,0,266.12,Unknown,Low
Merch_00216,Williams-Garrett,Services,39239,2,$38.72,0.0037,Low
Merch_00217,Horn-Costa,Unknown,48224,3,49.41,0.089,Low
Merch_00218,"Hughes, Merritt And Davis",Services,08118,1,35.21,0.0056,Low
Merch_00219,"Stephens, Smith And Vargas",Retail,98930,3,151.9,Unknown,Low
Merch_00220,Supply-Partners,Manufacturing,72109,13,52.38,0.0136,Low
Merch_00221,Poole-Brown,Services,Abc12,-6,98.47,0.0157,Low
Merch_00222,Biz-Corp,Wholesale,63118Extra,3,55.0,0.0153,Medium
Merch_00223,Jones Plc,Unknown,52154,6,Unknown,0.0043,Low
Merch_00224,"Clark, Phelps And Johnson",Manufacturing,68684,1,Unknown,0.0096,Medium
Merch_00225,Oconnor Llc,Wholesale,57882,13,12.84,0.05,Low
Merch_00226,Williams Llc,Wholesale,Abc12,Unknown,176.24,0.0274,Low
Merch_00227,Ware-Peters,Services,25431,5,$139.21,0.0123,Low
Merch_00228,"Garcia, Weber And Rivera",Digital,62403,0,17.97,0.0242,Medium
Merch_00229,"Cruz, Hudson And Turner",Manufacturing,39564,2,35.45,0.0038,Medium
Merch_00230,Barry Plc,Digital,39209,13,16.24,0.0251,Medium
Merch_00231,Middleton-Perez,Wholesale,01592,0,$67.55,0.0035,Medium
Merch_00232,Stewart Ltd,Digital,57000,-2,186.36,0.0238,Low
Merch_00233,Cruz Inc,Manufacturing,33885,4,248.22,0.0128,Low
Merch_00234,Cruz And Sons,Wholesale,98402,Unknown,87.07,0.0054,Low
Merch_00235,Martinez-Roach,Other,39754,5,Unknown,0.0138,Low
Merch_00236,Livingston-Jackson,Manufacturing,42500,0,-5.32,0.0062,Low
Merch_00237,Brooks Plc,Unknown,61670,11,Unknown,0.0248,Unknown
Merch_00238,"Murray, Mejia And Brown",Unknown,23901,2,98.16,0.029,Medium
Merch_00239,"Steele, Casey And Wilson",Wholesale,45788,4,3.56,0.034,Low
Merch_00240,"Hubbard, Mccullough And Harris",Unknown,40954,14,$14.26,0.0085,Low
Merch_00241,Gordon-Leonard,Unknown,25875,7,Unknown,0.0604,Medium
Merch_00242,"Romero, Ramos And Soto",Digital,51659,0,139.48,1.82%,Low
Merch_00243,"Smith, Riley And Skinner",Digital,52668,-1,6.83,0.0187,Low
Merch_00244,"Moss, Rodriguez And Williams",Digital,02403,Unknown,98.58,0.0137,Low
Merch_00245,Ross Ltd,Unknown,Abc12,1,94.95,0.0176,Low
Merch_00246,Biz-Corp,Unknown,51210,1,6.49,0.0159,Low
Merch_00247,Rasmussen Group,Unknown,41694,0,$125.09,0.0196,Low
Merch_00248,Biz-Corp,Other,9523,2,$11.26,0.0253,Low
Merch_00249,Summers-Wilson,Services,07964,-25,300.39,0.3%,Low
Merch_00250,Lopez-Robles,Retail,53344,0,$30.17,0.0228,Medium
Merch_00251,Clayton Plc,Services,44072,5,$5.57,0.0181,Low
Merch_00252,"Bryant, Wilson And White",Digital,69643,Unknown,$33.26,0.003,Low
Merch_00253,Comp&Ny Inc,Retail,29511,11,16.25,0.0151,Low
Merch_00254,Hernandez Plc,Services,4458,4,141.27,0.018,Low
Merch_00255,Trade-Co,Digital,Abc12,6,51.74,0.0338,Low
Merch_00256,Biz-Corp,Unknown,56443,3,20.62,0.0197,Low
Merch_00257,"Hernandez, Fitzgerald And Roberts",Digital,45492,5,479.81,0.0016,Medium
Merch_00258,"Mccann, Mora And Pearson",Wholesale,48195,9,$49.34,0.5511,Medium
Merch_00259,"Cook, Ford And Williams",Services,54219,0,1951.53,0.0319,Medium
Merch_00260,Pierce Plc,Unknown,35927Extra,6,129.8,0.0244,Low
Merch_00261,Garcia Plc,Wholesale,85670,0,192.39,0.0146,Low
Merch_00262,Thompson-Liu,Services,09346,0,53.01,0.0089,Medium
Merch_00263,"Johnson, Padilla And May",Unknown,98870,Unknown,81.07,0.021,Unknown
Merch_00264,Mcdowell And Sons,Unknown,03351,Unknown,2.43,0.0304,Unknown
Merch_00265,Goods-Llc,Wholesale,70534,2,$297.28,1.17%,Low
Merch_00266,"Rodriguez, Torres And Kelly",Retail,6913,-2,193.57,0.0216,Low
Merch_00267,Nunez-Watkins,Unknown,78603,1,14.6,1.34%,Medium
Merch_00268,"Johnson, Callahan And Padilla",Services,1317,2,64.38,Unknown,Low
Merch_00269,Carpenter-Miller,Manufacturing,Unknown,6,121.61,0.0188,Low
Merch_00270,Supply-Partners,Unknown,Unknown,2,56.94,0.0094,Low
Merch_00271,Goods-Llc,Manufacturing,39293,1,3.82,0.0255,Medium
Merch_00272,Burke And Sons,Manufacturing,57203,Unknown,60.81,0.0332,Low
Merch_00273,Supply-Partners,Services,02299Extra,2,$7.84,0.0061,Medium
Merch_00274,Phillips Inc,Manufacturing,07020,2,$19.9,0.0162,Low
Merch_00275,Johnson Inc,Digital,32591,9,$13.8,Unknown,Low
Merch_00276,Norman Llc,Manufacturing,91611,1,153.11,0.0041,Low
Merch_00277,Pineda-Simpson,Unknown,16364,1,$4.03,0.0081,Medium
Merch_00278,Trade-Co,Services,5246,12,$143.18,0.0102,Unknown
Merch_00279,Gilbert Group,Retail,20670,1,Unknown,0.0082,Low
Merch_00280,Biz-Corp,Wholesale,27390,8,40.16,0.0439,High
Merch_00281,Trade-Co,Unknown,8300,9,38.36,2.28%,Low
Merch_00282,Supply-Partners,Manufacturing,8111,0,-6.43,1.13%,Low
Merch_00283,Lawson Llc,Manufacturing,42961Extra,1,22.13,0.7528,Low
Merch_00284,Stephens-Duarte,Services,Abc12,8,78.68,0.0072,Unknown
Merch_00285,"Moody, Booth And Vazquez",Manufacturing,41336,1 Years,4.26,0.0072,Low
Merch_00286,"Mendoza, Esparza And Conley",Manufacturing,41779,1,10.18,0.0107,Low
Merch_00287,"Berry, Brown And Smith",Services,10092,2,98.87,0.0307,Low
Merch_00288,Thompson-Lambert,Manufacturing,31262Extra,3,Unknown,0.0139,Medium
Merch_00289,Blevins Ltd,Wholesale,98208,22,30.81,0.0135,Low
Merch_00290,Goods-Llc,Unknown,39337,1,32.21,0.0223,Low
Merch_00291,Callahan-Warren,Services,8365,3,35.73,0.0445,Low
Merch_00292,Sullivan Plc,Retail,54449,0,34.39,Unknown,Low
Merch_00293,"Anderson, Howell And Murphy",Unknown,7632,4,6.29,0.0147,Low
Merch_00294,"Lowe, Rios And Campbell",Unknown,Abc12,0,27.03,0.0085,Medium
Merch_00295,Cole Group,Services,67519,7,71.46,0.0205,Medium
Merch_00296,Bennett-Howell,Wholesale,Abc12,Unknown,116.06,0.0277,Low
Merch_00297,"Best, Diaz And Quinn",Unknown,64327,Unknown,$146.57,Unknown,High
Merch_00298,Trade-Co,Services,78578,2,20.95,0.0325,Low
Merch_00299,Biz-Corp,Digital,Abc12,2,14.1,0.16%,Medium
Merch_00300,Thomas Plc,Wholesale,12662,5,12.57,0.0434,Low
Merch_00301,Trade-Co,Wholesale,54463,2,150.18,0.0141,Medium
Merch_00302,Coleman Llc,Services,23308,12,85.37,0.0029,Low
Merch_00303,Neal And Sons,Manufacturing,Abc12,5,66.55,0.0117,Medium
Merch_00304,"Robinson, Palmer And Bowers",Wholesale,64137,2,$131.97,0.0221,Medium
Merch_00305,"Brown, Gillespie And Moss",Wholesale,56343,1,485.48,0.0183,Low
Merch_00306,"Ramirez, Watson And Fernandez",Unknown,58176,Unknown,35.61,0.0388,Low
Merch_00307,"Clark, Hoffman And Robinson",Unknown,86225,5,48.26,0.6896,Low
Merch_00308,Graham-Mercado,Manufacturing,2363,4,$38.76,0.0022,Medium
Merch_00309,"Norman, Cooke And Jackson",Wholesale,Abc12,5,Unknown,0.0349,Low
Merch_00310,"Meyer, Douglas And Ward",Wholesale,67893,13,61.51,0.0102,Medium
Merch_00311,"Montgomery, Parker And Gutierrez",Wholesale,50076,4,56.1,0.0224,Low
Merch_00312,Norton-Curtis,Retail,87824Extra,6,53.1,0.0083,Low
Merch_00313,Carter Ltd,Services,42968,0,276.49,0.0165,Low
Merch_00314,Holmes-Burke,Manufacturing,Abc12,14 Years,90.85,Unknown,Low
Merch_00315,Nguyen Inc,Digital,Unknown,16,10.99,0.0113,Low
Merch_00316,"Carter, Rogers And Smith",Digital,47413Extra,5,-5.05,0.0175,Low
Merch_00317,Anthony Group,Manufacturing,78468,3,3.02,Unknown,Low
Merch_00318,Cook-House,Digital,92827,Unknown,Unknown,0.0055,Low
Merch_00319,"Shepherd, Walton And Barnett",Digital,27072Extra,5 Years,2.77,0.0197,Low
Merch_00320,"Gross, Rodriguez And Moreno",Services,52002,Unknown,54.88,0.0377,Low
Merch_00321,Comp&Ny Inc,Manufacturing,26049,12,20.55,0.021,Low
Merch_00322,Sanchez Plc,Digital,96368,Unknown,60.97,0.0228,Low
Merch_00323,Sellers-Wright,Services,67446,6,24.44,0.0125,Medium
Merch_00324,"Boyle, Smith And May",Unknown,72278,5,400.09,0.0187,High
Merch_00325,Eaton Ltd,Wholesale,94191,3,Unknown,0.021,Low
Merch_00326,Supply-Partners,Unknown,02401,5,18.74,0.0182,Medium
Merch_00327,Johnson Ltd,Retail,73451,2,11.8,0.0109,Unknown
Merch_00328,Sims-Wilson,Digital,68692,7,19.26,0.84%,Low
Merch_00329,Gregory-Carson,Retail,Unknown,12,57.74,0.0166,Medium
Merch_00330,Jacobs And Sons,Retail,4428,14,$157.94,0.001,Low
Merch_00331,"Gardner, Smith And Morris",Wholesale,Abc12,1,8.01,0.0554,Medium
Merch_00332,Martinez-Vincent,Unknown,41257,6,5.46,0.0067,Low
Merch_00333,Supply-Partners,Services,08966,2,6.6,0.0243,Low
Merch_00334,"Kramer, Peck And Williams",Services,1868,Unknown,Unknown,0.0166,Medium
Merch_00335,Supply-Partners,Unknown,12114,Unknown,180.06,0.0077,Low
Merch_00336,Moreno Plc,Retail,3140,Unknown,92.47,0.0121,Low
Merch_00337,Phillips Inc,Manufacturing,Abc12,4,16.23,0.0145,High
Merch_00338,"Ibarra, Martin And Velez",Unknown,76088,20,Unknown,0.0052,Low
Merch_00339,Scott-Bennett,Unknown,37899,2,45.98,0.0148,Low
