merchant_id,merchant_name,merchant_category,location_zip,years_in_business,avg_transaction_value,chargeback_rate,risk_tier
MERCH_00041,Williamson-Morris,Unknown,59213,0,$10.86,2.29%,unknown
MERCH_00042,"Cline, Jacobs and Wilson",Digital,47580,1,13.08,0.0234,high
MERCH_00043,Mcdaniel-Ochoa,Unknown,73671,2,$114.76,0.0199,low
MERCH_00044,Johnson and Sons,Manufacturing,ABC12,0,46.82,0.0303,high
MERCH_00045,Goods-LLC,Manufacturing,68871,7,17.29,0.0153,low
MERCH_00046,SOTO AND SONS,Services,ABC12,3 years,Unknown,0.0208,Unknown
MERCH_00047,Lane-Collins,Retail,56124,6,22.52,0.0198,high
MERCH_00048,Johnson LLC,Unknown,63728,0,Unknown,0.0061,low
MERCH_00049,"Christensen, Anderson and Coleman",Services,72295,0,Unknown,0.0506,medium
MERCH_00050,Thompson Inc,Digital,78016,2,52.41,0.0108,low
MERCH_00051,BANKS-DAVIS,Wholesale,13725,1,28.07,0.0097,low
MERCH_00052,Snyder and Sons,Wholesale,21437,0,271.1,0.0174,Unknown
MERCH_00053,"Trujillo, Williams and Yang",Manufacturing,5199,Unknown,37.33,0.0034,medium
MERCH_00054,Johns-Mccoy,UNKNOWN,35400,1,57.62,0.0081,low
MERCH_00055,Cowan Ltd,Manufacturing,4806,0,93.5,0.0167,medium
MERCH_00056,Biz-Corp,Digital,62780,1 years,61.52,0.0135,low
MERCH_00057,Goods-LLC,Unknown,90280,5,165.21,0.0191,medium
MERCH_00058,Floyd Inc,Manufacturing,9812,-5,224.42,0.28,low
MERCH_00059,"Sullivan, Robinson and Trujillo",Manufacturing,51733,1,26.85,0.0102,medium
MERCH_00060,"Wright, Norris and Mckay",Manufacturing,02690,1,370.52,0.0296,medium
MERCH_00061,Trade-Co,Retail,68919,2,$13.7,0.0153,low
MERCH_00062,Peterson-Edwards,Wholesale,96115,3,$33.91,0.0221,Unknown
MERCH_00063,"Gates, Martin and Lawrence",Wholesale,45364,0,73.2,0.0134,low
MERCH_00064,SCHWARTZ LLC,Retail,6604,1,322.36,0.0084,Unknown
MERCH_00065,Kirk-Bauer,Digital,Unknown,1,24.04,0.0072,low
MERCH_00066,RYAN LTD,Digital,21237,5,69.4,0.0256,low
MERCH_00067,"Walsh, Stevenson and Rodriguez",Wholesale,68807,4,139.4,0.0253,medium
MERCH_00068,Trade-Co,Unknown,41255,3,$48.73,0.045,low
MERCH_00069,"Turner, Oliver and Richards",Digital,47062,-3,21.09,0.0208,low
MERCH_00070,Avila LLC,Retail,75327,0,13.52,Unknown,medium
MERCH_00071,"Brown, Brady and Myers",Services,Unknown,Unknown,$25.08,0.0248,medium
MERCH_00072,"NUNEZ, ALLEN AND CRUZ",Manufacturing,88375,4,37.91,0.0389,medium
MERCH_00073,"Luna, Wong and Jackson",Unknown,50555,3,7.75,0.0013,low
MERCH_00074,Ramsey Ltd,Retail,98802EXTRA,Unknown,$43.06,0.006,low
MERCH_00075,"Parks, Clark and Bush",Manufacturing,18650EXTRA,Unknown,Unknown,0.0211,medium
MERCH_00076,"Sanchez, Chandler and Garcia",Manufacturing,81832,Unknown,96.22,0.0038,low
MERCH_00077,MURPHY GROUP,Retail,98384,3,38.3,0.0176,low
MERCH_00078,"NORTON, MITCHELL AND POWERS",Retail,27580,13,8.53,0.0268,low
MERCH_00079,Nichols-Wright,Retail,49936,6,12.71,Unknown,medium
MERCH_00080,Jackson-Stein,Services,ABC12,Unknown,$131.6,0.0376,medium
MERCH_00081,"Mcdonald, Nolan and Ward",Unknown,ABC12,3,30.95,0.0166,medium
MERCH_00082,Smith-Navarro,Digital,95482,2,55.56,0.0166,low
MERCH_00083,Espinoza Inc,Wholesale,92239,13,3097.41,0.0313,medium
MERCH_00084,Davis-Williams,Unknown,00768,7,156.09,0.0215,low
MERCH_00085,Vance-Sims,Wholesale,Unknown,17,$53.05,0.0272,medium
MERCH_00086,Reyes-Case,Digital,66059,4,5.38,0.0181,low
MERCH_00087,Williams PLC,Manufacturing,67368EXTRA,0,607.35,0.0357,low
MERCH_00088,"Thornton, West and Burns",Wholesale,04297,0,144.59,0.3812,high
MERCH_00089,Smith LLC,Manufacturing,ABC12,4,45.32,0.0066,low
MERCH_00090,Trade-Co,Unknown,44635,4,59.19,0.0358,medium
MERCH_00091,SUPPLY-PARTNERS,Unknown,Unknown,4,55.5,0.0369,low
MERCH_00092,"Morse, Austin and Hobbs",Unknown,41699,7,7.67,0.0266,low
MERCH_00093,Williams-Cole,Manufacturing,42429,0 years,Unknown,0.0222,low
MERCH_00094,"Craig, Davis and Garcia",Services,88182,18 years,55.55,0.0109,high
MERCH_00095,"Stewart, Davis and Hernandez",Unknown,31069,0,$60.86,0.0181,low
MERCH_00096,Ayala Group,Services,79027,2,5.41,Unknown,medium
MERCH_00097,Stephens-Lambert,Unknown,90271,6,$5.94,0.0277,low
MERCH_00098,Flores-Johns,Services,67756,0,Unknown,Unknown,low
MERCH_00099,"Marshall, Anderson and Thomas",Unknown,65697,0,$324.04,0.0076,low
MERCH_00100,"Rodriguez, Nichols and Potter",Unknown,ABC12,1,426.67,0.0393,low
MERCH_00101,Brown Inc,Unknown,5401,8,$44.53,0.007,low
MERCH_00102,SUMMERS-HERRING,Other,79705,11,12.91,0.0432,low
MERCH_00103,Cox-Owens,Unknown,51086,2,532.17,0.0016,Unknown
MERCH_00104,Boyd LLC,Retail,02596,2,146.41,0.0238,Unknown
MERCH_00105,Trade-Co,Unknown,95707,3,Unknown,0.0477,low
MERCH_00106,Rodriguez-Hicks,Retail,36852,1,Unknown,0.0047,medium
MERCH_00107,White Group,Manufacturing,23937,3,84.77,0.0309,low
MERCH_00108,"Ramos, Gregory and Mcgrath",Retail,Unknown,5,25.34,0.0138,medium
MERCH_00109,"Wallace, Burns and Rivera",Manufacturing,Unknown,2,Unknown,0.0244,Unknown
MERCH_00110,Myers LLC,Wholesale,93551,2,$33.21,0.006,low
MERCH_00111,"Campbell, Martinez and May",Services,5307,3,14.8,0.0079,low
MERCH_00112,GARCIA LLC,Services,62416,15,$51.46,0.0234,low
MERCH_00113,Comp&ny Inc,Retail,11499,6,-8.82,0.3114,medium
MERCH_00114,Perez-Newman,Retail,78431,11 years,124.73,0.0188,low
MERCH_00115,"Jackson, Kelley and Rowe",Manufacturing,31071,4,224.37,0.0176,low
MERCH_00116,Morgan-Nguyen,Unknown,08952,0,$47.82,0.0418,low
MERCH_00117,Morris-Taylor,Digital,52823,4,19.06,0.023,low
MERCH_00118,Buchanan-Green,Retail,27615,0,19.86,0.0208,medium
MERCH_00119,Eaton PLC,Wholesale,ABC12,Unknown,46.8,0.0273,low
MERCH_00120,"Bishop, Jones and Jones",Unknown,99108,15,36.93,0.0185,medium
MERCH_00121,"Carter, Riggs and Frye",Retail,37900,Unknown,1434.42,0.0179,low
MERCH_00122,Wu-Dougherty,Unknown,60264,18,55.07,0.0443,low
MERCH_00123,Benson-Young,Retail,77535,5,$62.6,0.0181,low
MERCH_00124,HARRIS LTD,Digital,ABC12,Unknown,57.84,0.0013,low
MERCH_00125,Kent-Hughes,Digital,14199,10,$51.47,0.0152,low
MERCH_00126,"Abbott, Avila and Nguyen",Unknown,06311,7,Unknown,0.007,low
MERCH_00127,Gonzalez Ltd,Retail,52551,1,$225.37,0.0219,high
MERCH_00128,Goods-LLC,Services,54612,0,Unknown,0.59%,low
MERCH_00129,James-Mercado,Wholesale,79253,8,57.02,0.0197,low
MERCH_00130,Trade-Co,Digital,30633,7,55.47,0.007,medium
MERCH_00131,"Carlson, Houston and Rivera",Wholesale,37181,10,8.52,0.9142,low
MERCH_00132,Mccall PLC,Unknown,62225,1,Unknown,0.0189,low
MERCH_00133,"Lang, Gomez and Mcfarland",Unknown,10188,Unknown,50.03,0.0065,medium
MERCH_00134,Turner-Hale,Manufacturing,97957,3,70.51,0.0063,high
MERCH_00135,Bowers PLC,Services,01920,5,80.44,0.0341,low
MERCH_00136,Washington-Moore,Manufacturing,3467,1,235.15,0.0216,high
MERCH_00137,Mcintyre LLC,Digital,73387,Unknown,57.62,0.0299,low
MERCH_00138,"Mann, Zimmerman and Stevenson",Unknown,97506EXTRA,2,101.43,0.0082,low
MERCH_00139,"Mathis, Smith and Thompson",UNKNOWN,2468,7,36.04,0.0306,low
MERCH_00140,Armstrong-Smith,UNKNOWN,ABC12,1,$10.42,0.0078,Unknown
MERCH_00141,Garner-Stephens,Digital,Unknown,0 years,$73.86,0.0061,low
MERCH_00142,Trade-Co,Retail,86811,4,131.54,0.0013,low
MERCH_00143,Skinner-Ryan,Services,24389,4,45.37,0.0147,low
MERCH_00144,Mahoney-Patterson,Services,61411EXTRA,0,43.94,0.0015,low
MERCH_00145,Peterson and Sons,Unknown,72019,1,8.85,0.023,low
MERCH_00146,"Castillo, Moore and Little",Wholesale,Unknown,1,13.27,0.0042,low
MERCH_00147,"Mcdonald, Garner and Jacobs",Digital,55469,1,159.65,0.0116,low
MERCH_00148,"Hill, Bell and Flores",Manufacturing,60028,3,6.43,0.0182,unknown
MERCH_00149,Williams and Sons,Wholesale,43843,3,$50.51,0.0057,medium
MERCH_00150,Smith Ltd,Unknown,06732,4,12.0,0.0264,low
MERCH_00151,Hernandez and Sons,Wholesale,Unknown,6,186.2,0.0067,low
MERCH_00152,Green Group,Services,88345,1,Unknown,0.0115,medium
MERCH_00153,Chavez Inc,Manufacturing,77818,5,183.08,0.0193,low
MERCH_00154,Flores-Wu,Digital,24332EXTRA,4,13.53,0.0061,low
MERCH_00155,Supply-Partners,Digital,86935,9,-4.82,0.0097,low
MERCH_00156,Supply-Partners,Digital,71373,Unknown,34.38,Unknown,low
MERCH_00157,Landry-Townsend,Other,20502,0,52.57,0.0169,Unknown
MERCH_00158,Reyes PLC,Unknown,96090EXTRA,Unknown,270.93,Unknown,low
MERCH_00159,Rivera Ltd,Unknown,9261,9,$13.61,0.0186,high
MERCH_00160,"Martin, Garcia and Griffin",Services,55474EXTRA,1,99.97,0.003,medium
MERCH_00161,Heath Inc,Unknown,01362,-8,$629.49,0.0114,medium
MERCH_00162,Adams Ltd,Retail,65407,1 years,124.5,0.006,medium
MERCH_00163,Alvarez-Pena,Services,49039,0,72.0,0.0165,medium
MERCH_00164,Goods-LLC,Unknown,68152,1,39.48,0.0178,low
MERCH_00165,Ferguson LLC,Digital,08850,10,Unknown,Unknown,low
MERCH_00166,"Garrett, Smith and Martinez",Unknown,20204,Unknown,Unknown,2.88%,medium
MERCH_00167,Moreno-Woods,Digital,33468,13,56.12,Unknown,Unknown
MERCH_00168,Goods-LLC,Manufacturing,07050EXTRA,2,Unknown,Unknown,low
MERCH_00169,"Calderon, Roman and Edwards",Manufacturing,31981,0,Unknown,0.0173,low
MERCH_00170,Blake-Holden,Digital,35826,1,87.18,0.0082,high
MERCH_00171,"Davila, May and Bell",Unknown,69904,Unknown,13.35,0.0258,low
MERCH_00172,Comp&ny Inc,Wholesale,83026,1,283.38,0.0071,low
MERCH_00173,Hicks-Gonzalez,Digital,54072,6,37.16,0.0195,medium
MERCH_00174,Gonzalez-Gonzalez,Services,38706EXTRA,8,56.4,0.0155,low
MERCH_00175,"Carey, Cooper and Duncan",Unknown,05898,2,94.91,0.0633,low
MERCH_00176,"Bennett, Vasquez and Calhoun",Wholesale,95930EXTRA,Unknown,60.99,0.0028,medium
MERCH_00177,Vang Group,Services,63140,2,194.65,0.029,medium
MERCH_00178,Delgado Ltd,Other,66741,1,6.41,0.0099,low
MERCH_00179,"Hall, Duran and Morrison",Digital,ABC12,9,Unknown,3.15%,low
MERCH_00180,Grimes-Porter,Wholesale,46577,2,$3.45,0.5543,low
MERCH_00181,Lopez PLC,Digital,79875,13,76.11,1.13%,high
MERCH_00182,Brown-Adams,Wholesale,ABC12,4,10.35,0.0096,low
MERCH_00183,Biz-Corp,Services,99054,12,Unknown,0.0221,low
MERCH_00184,LEVINE-CLARK,Retail,Unknown,3,21.29,0.0171,low
MERCH_00185,Burns-Garner,Other,26849,-4,49.83,0.0155,low
MERCH_00186,Hayes-Roberts,Wholesale,39861,7,3.88,0.0319,low
MERCH_00187,"Hernandez, Brown and Bryant",Services,57008,10,255.47,0.0121,medium
MERCH_00188,Gonzalez-Moore,Manufacturing,5309,0,-5.47,Unknown,unknown
MERCH_00189,"Brown, Pearson and Carroll",Services,75227,0,$73.63,0.0128,low
MERCH_00190,Henry and Sons,Manufacturing,73486,3,Unknown,0.0052,low
MERCH_00191,Cook Group,Unknown,Unknown,3,80.08,0.0074,low
MERCH_00192,Smith Inc,Digital,68957EXTRA,7,41.85,0.0312,low
MERCH_00193,Tucker-Knox,Unknown,93996,3,Unknown,0.0157,medium
MERCH_00194,"Garcia, Reed and Bell",Unknown,79319,3,2.55,0.0158,low
MERCH_00195,Zuniga-Thompson,Services,24632,6,27.2,0.0247,low
MERCH_00196,"Smith, Kerr and Young",UNKNOWN,09438,1,$67.13,0.0329,medium
MERCH_00197,SANTOS-HAMILTON,Services,ABC12,0,40.68,0.6462,medium
MERCH_00198,Meyer Ltd,Wholesale,29014,2,47.16,0.0509,low
MERCH_00199,Snyder and Sons,Unknown,45650,1,359.66,Unknown,high
MERCH_00200,Mitchell and Sons,Unknown,02008,0,$33.73,4.69%,low
MERCH_00201,"Carroll, Porter and Spencer",Services,91366EXTRA,1,35.42,0.026,low
MERCH_00202,Evans-Turner,UNKNOWN,ABC12,3 years,28.29,0.006,low
MERCH_00203,Davis-Thomas,Unknown,18839,5,$73.27,0.011,medium
MERCH_00204,Vasquez Ltd,Digital,52922,-4,32.29,0.0096,medium
MERCH_00205,Jordan-Petersen,Services,8030,4,$121.58,0.0006,low
MERCH_00206,Cortez-Smith,Manufacturing,55785EXTRA,0,16.1,0.0241,medium
MERCH_00207,Sawyer Ltd,Retail,98971,5,13.19,0.0234,high
MERCH_00208,Robinson Group,Unknown,47478,1,Unknown,0.0122,low
MERCH_00209,Martinez Ltd,Digital,96333,3,31.11,0.0053,Unknown
MERCH_00210,King-Smith,Retail,ABC12,7,697.86,Unknown,low
MERCH_00211,Wheeler-Scott,Retail,63341,5,40.3,0.0162,low
MERCH_00212,Biz-Corp,Unknown,28709,3 years,Unknown,0.0011,low
MERCH_00213,Guerrero Group,Wholesale,11941,7,46.96,0.0065,low
MERCH_00214,Woods Group,Retail,29391,7,$68.99,0.0198,medium
MERCH_00215,Comp&ny Inc,Services,42775,0,266.12,Unknown,low
MERCH_00216,Williams-Garrett,Services,39239,2,$38.72,0.0037,low
MERCH_00217,HORN-COSTA,Unknown,48224,3,49.41,0.089,low
MERCH_00218,"Hughes, Merritt and Davis",Services,08118,1,35.21,0.0056,low
MERCH_00219,"STEPHENS, SMITH AND VARGAS",Retail,98930,3,151.9,Unknown,low
MERCH_00220,SUPPLY-PARTNERS,Manufacturing,72109,13,52.38,0.0136,low
MERCH_00221,Poole-Brown,Services,ABC12,-6,98.47,0.0157,low
MERCH_00222,Biz-Corp,Wholesale,63118EXTRA,3,55.0,0.0153,medium
MERCH_00223,Jones PLC,UNKNOWN,52154,6,Unknown,0.0043,low
MERCH_00224,"Clark, Phelps and Johnson",Manufacturing,68684,1,Unknown,0.0096,medium
MERCH_00225,Oconnor LLC,Wholesale,57882,13,12.84,0.05,low
MERCH_00226,Williams LLC,Wholesale,ABC12,Unknown,176.24,0.0274,low
MERCH_00227,Ware-Peters,Services,25431,5,$139.21,0.0123,low
MERCH_00228,"Garcia, Weber and Rivera",Digital,62403,0,17.97,0.0242,medium
MERCH_00229,"Cruz, Hudson and Turner",Manufacturing,39564,2,35.45,0.0038,medium
MERCH_00230,Barry PLC,Digital,39209,13,16.24,0.0251,medium
MERCH_00231,Middleton-Perez,Wholesale,01592,0,$67.55,0.0035,medium
MERCH_00232,Stewart Ltd,Digital,57000,-2,186.36,0.0238,low
MERCH_00233,Cruz Inc,Manufacturing,33885,4,248.22,0.0128,low
MERCH_00234,Cruz and Sons,Wholesale,98402,Unknown,87.07,0.0054,low
MERCH_00235,Martinez-Roach,Other,39754,5,Unknown,0.0138,low
MERCH_00236,Livingston-Jackson,Manufacturing,42500,0,-5.32,0.0062,low
MERCH_00237,Brooks PLC,Unknown,61670,11,Unknown,0.0248,Unknown
MERCH_00238,"Murray, Mejia and Brown",Unknown,23901,2,98.16,0.029,medium
MERCH_00239,"Steele, Casey and Wilson",Wholesale,45788,4,3.56,0.034,low
MERCH_00240,"HUBBARD, MCCULLOUGH AND HARRIS",Unknown,40954,14,$14.26,0.0085,low
MERCH_00241,Gordon-Leonard,Unknown,25875,7,Unknown,0.0604,medium
MERCH_00242,"Romero, Ramos and Soto",Digital,51659,0,139.48,1.82%,low
MERCH_00243,"Smith, Riley and Skinner",Digital,52668,-1,6.83,0.0187,low
MERCH_00244,"Moss, Rodriguez and Williams",Digital,02403,Unknown,98.58,0.0137,low
MERCH_00245,Ross Ltd,Unknown,ABC12,1,94.95,0.0176,low
MERCH_00246,Biz-Corp,UNKNOWN,51210,1,6.49,0.0159,low
MERCH_00247,Rasmussen Group,Unknown,41694,0,$125.09,0.0196,low
MERCH_00248,Biz-Corp,Other,9523,2,$11.26,0.0253,low
MERCH_00249,Summers-Wilson,Services,07964,-25,300.39,0.3%,low
MERCH_00250,Lopez-Robles,Retail,53344,0,$30.17,0.0228,medium
MERCH_00251,Clayton PLC,Services,44072,5,$5.57,0.0181,low
MERCH_00252,"Bryant, Wilson and White",Digital,69643,Unknown,$33.26,0.003,low
MERCH_00253,Comp&ny Inc,Retail,29511,11,16.25,0.0151,low
MERCH_00254,Hernandez PLC,Services,4458,4,141.27,0.018,low
MERCH_00255,Trade-Co,Digital,ABC12,6,51.74,0.0338,low
MERCH_00256,Biz-Corp,Unknown,56443,3,20.62,0.0197,low
MERCH_00257,"Hernandez, Fitzgerald and Roberts",Digital,45492,5,479.81,0.0016,medium
MERCH_00258,"Mccann, Mora and Pearson",Wholesale,48195,9,$49.34,0.5511,medium
MERCH_00259,"COOK, FORD AND WILLIAMS",Services,54219,0,1951.53,0.0319,medium
MERCH_00260,Pierce PLC,Unknown,35927EXTRA,6,129.8,0.0244,low
MERCH_00261,Garcia PLC,Wholesale,85670,0,192.39,0.0146,low
MERCH_00262,Thompson-Liu,Services,09346,0,53.01,0.0089,medium
MERCH_00263,"Johnson, Padilla and May",Unknown,98870,Unknown,81.07,0.021,Unknown
MERCH_00264,Mcdowell and Sons,Unknown,03351,Unknown,2.43,0.0304,unknown
MERCH_00265,Goods-LLC,Wholesale,70534,2,$297.28,1.17%,low
MERCH_00266,"RODRIGUEZ, TORRES AND KELLY",Retail,6913,-2,193.57,0.0216,low
MERCH_00267,Nunez-Watkins,Unknown,78603,1,14.6,1.34%,medium
MERCH_00268,"Johnson, Callahan and Padilla",Services,1317,2,64.38,Unknown,low
MERCH_00269,Carpenter-Miller,Manufacturing,Unknown,6,121.61,0.0188,low
MERCH_00270,Supply-Partners,Unknown,Unknown,2,56.94,0.0094,low
MERCH_00271,Goods-LLC,Manufacturing,39293,1,3.82,0.0255,medium
MERCH_00272,Burke and Sons,Manufacturing,57203,Unknown,60.81,0.0332,low
MERCH_00273,Supply-Partners,Services,02299EXTRA,2,$7.84,0.0061,medium
MERCH_00274,Phillips Inc,Manufacturing,07020,2,$19.9,0.0162,low
MERCH_00275,Johnson Inc,Digital,32591,9,$13.8,Unknown,low
MERCH_00276,Norman LLC,Manufacturing,91611,1,153.11,0.0041,low
MERCH_00277,Pineda-Simpson,Unknown,16364,1,$4.03,0.0081,medium
MERCH_00278,Trade-Co,Services,5246,12,$143.18,0.0102,Unknown
MERCH_00279,Gilbert Group,Retail,20670,1,Unknown,0.0082,low
MERCH_00280,Biz-Corp,Wholesale,27390,8,40.16,0.0439,high
MERCH_00281,Trade-Co,Unknown,8300,9,38.36,2.28%,low
MERCH_00282,Supply-Partners,Manufacturing,8111,0,-6.43,1.13%,low
MERCH_00283,Lawson LLC,Manufacturing,42961EXTRA,1,22.13,0.7528,low
MERCH_00284,Stephens-Duarte,Services,ABC12,8,78.68,0.0072,unknown
MERCH_00285,"Moody, Booth and Vazquez",Manufacturing,41336,1 years,4.26,0.0072,low
MERCH_00286,"Mendoza, Esparza and Conley",Manufacturing,41779,1,10.18,0.0107,low
MERCH_00287,"Berry, Brown and Smith",Services,10092,2,98.87,0.0307,low
MERCH_00288,Thompson-Lambert,Manufacturing,31262EXTRA,3,Unknown,0.0139,medium
MERCH_00289,Blevins Ltd,Wholesale,98208,22,30.81,0.0135,low
MERCH_00290,Goods-LLC,Unknown,39337,1,32.21,0.0223,low
MERCH_00291,Callahan-Warren,Services,8365,3,35.73,0.0445,low
MERCH_00292,Sullivan PLC,Retail,54449,0,34.39,Unknown,low
MERCH_00293,"Anderson, Howell and Murphy",Unknown,7632,4,6.29,0.0147,low
MERCH_00294,"Lowe, Rios and Campbell",Unknown,ABC12,0,27.03,0.0085,medium
MERCH_00295,Cole Group,Services,67519,7,71.46,0.0205,medium
MERCH_00296,Bennett-Howell,Wholesale,ABC12,Unknown,116.06,0.0277,low
MERCH_00297,"Best, Diaz and Quinn",Unknown,64327,Unknown,$146.57,Unknown,high
MERCH_00298,Trade-Co,Services,78578,2,20.95,0.0325,low
MERCH_00299,Biz-Corp,Digital,ABC12,2,14.1,0.16%,medium
MERCH_00300,Thomas PLC,Wholesale,12662,5,12.57,0.0434,low
MERCH_00301,Trade-Co,Wholesale,54463,2,150.18,0.0141,medium
MERCH_00302,Coleman LLC,Services,23308,12,85.37,0.0029,low
MERCH_00303,NEAL AND SONS,Manufacturing,ABC12,5,66.55,0.0117,medium
MERCH_00304,"ROBINSON, PALMER AND BOWERS",Wholesale,64137,2,$131.97,0.0221,medium
MERCH_00305,"Brown, Gillespie and Moss",Wholesale,56343,1,485.48,0.0183,low
MERCH_00306,"Ramirez, Watson and Fernandez",Unknown,58176,Unknown,35.61,0.0388,low
MERCH_00307,"Clark, Hoffman and Robinson",Unknown,86225,5,48.26,0.6896,low
MERCH_00308,Graham-Mercado,Manufacturing,2363,4,$38.76,0.0022,medium
MERCH_00309,"Norman, Cooke and Jackson",Wholesale,ABC12,5,Unknown,0.0349,low
MERCH_00310,"Meyer, Douglas and Ward",Wholesale,67893,13,61.51,0.0102,medium
MERCH_00311,"Montgomery, Parker and Gutierrez",Wholesale,50076,4,56.1,0.0224,low
MERCH_00312,Norton-Curtis,Retail,87824EXTRA,6,53.1,0.0083,low
MERCH_00313,Carter Ltd,Services,42968,0,276.49,0.0165,low
MERCH_00314,Holmes-Burke,Manufacturing,ABC12,14 years,90.85,Unknown,low
MERCH_00315,Nguyen Inc,Digital,Unknown,16,10.99,0.0113,low
MERCH_00316,"CARTER, ROGERS AND SMITH",Digital,47413EXTRA,5,-5.05,0.0175,low
MERCH_00317,Anthony Group,Manufacturing,78468,3,3.02,Unknown,low
MERCH_00318,Cook-House,Digital,92827,Unknown,Unknown,0.0055,low
MERCH_00319,"Shepherd, Walton and Barnett",Digital,27072EXTRA,5 years,2.77,0.0197,low
MERCH_00320,"Gross, Rodriguez and Moreno",Services,52002,Unknown,54.88,0.0377,low
MERCH_00321,Comp&ny Inc,Manufacturing,26049,12,20.55,0.021,low
MERCH_00322,Sanchez PLC,Digital,96368,Unknown,60.97,0.0228,low
MERCH_00323,Sellers-Wright,Services,67446,6,24.44,0.0125,medium
MERCH_00324,"Boyle, Smith and May",Unknown,72278,5,400.09,0.0187,high
MERCH_00325,Eaton Ltd,Wholesale,94191,3,Unknown,0.021,low
MERCH_00326,Supply-Partners,Unknown,02401,5,18.74,0.0182,medium
MERCH_00327,Johnson Ltd,Retail,73451,2,11.8,0.0109,Unknown
MERCH_00328,Sims-Wilson,Digital,68692,7,19.26,0.84%,low
MERCH_00329,Gregory-Carson,Retail,Unknown,12,57.74,0.0166,medium
MERCH_00330,Jacobs and Sons,Retail,4428,14,$157.94,0.001,low
MERCH_00331,"Gardner, Smith and Morris",Wholesale,ABC12,1,8.01,0.0554,medium
MERCH_00332,Martinez-Vincent,Unknown,41257,6,5.46,0.0067,low
MERCH_00333,SUPPLY-PARTNERS,Services,08966,2,6.6,0.0243,low
MERCH_00334,"Kramer, Peck and Williams",Services,1868,Unknown,Unknown,0.0166,medium
